词语,频率
2021年,2021
元旦节,2000
快乐,1700
新年,1600
牛转乾坤,1000
自信,600
乐观,596
坚强,592
细心,588
有爱心,584
善良,580
正义,576
执行力强,572
诚信,568
谈定,564
有上进心,560
创新精神强,556
勤劳,552
聪慧,548
责任感强,544
懂奉献,540
顾大局,536
心胸宽广,532
果敢,528
忠诚,524
守信任,520
有耐心,516
有风度,512
善于倾听,508
正直,504
有爱心,500
率真,496
有内涵,492
善解人意,488
懂感恩,484
睿智,480
生机勃发,476
有亲和力,472
诚实,468
理智,464
有自省力,460
工作有激情,456
斗志昂扬,452
有感染力,448
踏实,444
好学习?,440
有凝聚力,436
心态好,432
豁达,428
无私,424
有毅力,420
仁慈,416
执着,412
勇敢,408
坚强,404
有潜力,400
有上进心,396
开放,392
你很棒,388
你很优秀,384
你很宽容,380
忍耐心强,376
欣慰,372
有爱心,368
懂感恩,364
懂奉献,360
乐观,356
自信,352
对工热情,348
有责任心,344
讲原则,340
善于沟通,336
好学,332
勤奋,328
诚实,324
博学,320
直率,316
有涵养,312
无私,308
公正,304
心胸宽广,300
逻辑思维强,296
顾大局,292
懂平衡,288
果敢,284
精明,280
自信,276
乐观,272
真诚,268
有干劲,264
有个性,260
有责任心,256
好学,252
心细,248
有爱心,244
懂感恩,240
善于交际,236
风趣,232
有亲和力,228
大胆,224
有感召力,220
冷静,216
灵活,212
理智,208
 低调,204
威严,200
有个性,196
正义,192
亲和,188
坚强,184
积极,180
淡定,176
自信,172
乐观,168
勇敢,164
独立,160
执行力强,156
